id,nome,uf
1,Vitória,ES
2,São Paulo,SP
3,Vila Velha,ES
4,Serra,ES
5,Guarapari,ES
6,Cariacica,ES
7,Viana,ES
8,Castelo,ES
9,Cachoeiro de Itapemirim,ES
10,Belo Horizonte,MG
11,Uberlândia,MG
